subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Codeleted,172,0.30306946973069643,0.38186730122354967,0.7469480601730235,16.2864299270625,21.170676295287976,0.36508075894947384,4.884246368225476,10
Non-codeleted,159,0.3984882862487748,0.06764542158783664,0.341871977456329,12.039916685701073,17.23014424435115,0.27422655586849237,5.190227558650076,10
Codeleted,172,0.4584312665520958,0.24177359556794706,0.5215972599053408,14.56274512375439,18.723934461149963,0.2798236643373937,4.161189337395573,11
Non-codeleted,159,0.45272069491268624,0.24933132008878622,0.53322235363571,14.528570659183584,18.77150206958735,0.2838910335469238,4.242931410403765,11
Codeleted,172,0.28213080648213906,0.3825106544916975,0.7625193288995407,16.24572235201717,21.335447884965117,0.38000867440784314,5.089725532947945,12
Non-codeleted,159,0.43154721875923807,0.07131483464032302,0.319957852842716,12.125054481039292,16.90968699764549,0.24864301820239298,4.784632516606198,12
Codeleted,172,0.3742211708109494,0.1830538162191827,0.5297138211203783,13.76326284903434,19.00363537824152,0.34666000490119564,5.240372529207178,13
Non-codeleted,159,0.5135332971194045,0.30025653094888816,0.5391069705267669,15.185897198618774,18.705379813512273,0.23885043957787877,3.5194826148934997,13
Codeleted,172,0.3612916004643176,0.15991470797702975,0.5156695546437088,13.623335662534462,19.007661411103015,0.355754846666679,5.384325748568553,14
Non-codeleted,159,0.5217361386358239,0.32159759362435714,0.5532829002806975,15.418334926541853,18.8116141214384,0.23168530665634035,3.3932791948965466,14
Codeleted,172,0.6006872344128746,0.311421066950025,0.49620435786337275,15.690304818766176,18.35740172323122,0.18478329091334772,2.667096904465044,15
Non-codeleted,159,0.42590628089686194,0.2174666989340076,0.5221452931862084,13.94232080677714,18.633421415236633,0.3046785942522008,4.691100608459493,15
Codeleted,172,0.2752543454196005,0.4117799920029339,0.783312227773785,16.790665375450985,21.613806424125798,0.37153223577085104,4.823141048674813,16
Non-codeleted,159,0.3858610953268172,0.04034929521498499,0.2897650710603874,11.418787571557745,16.742401883254935,0.24941577584540242,5.32361431169719,16
Codeleted,172,0.3835424464944194,0.1831780954837011,0.5215316344791434,13.629476103469747,18.8300859469499,0.3383535389954423,5.200609843480153,17
Non-codeleted,159,0.6179398064037235,0.3344930668429621,0.5082762821061373,15.838818322441004,18.358770236289512,0.1737832152631752,2.5199519138485087,17
Codeleted,172,0.3094556059409268,0.41277269676295103,0.7604656126501119,16.55394741592366,21.24848947643673,0.3476929158871609,4.694542060513072,18
Non-codeleted,159,0.38340126618632475,0.0503764993770229,0.3180038047051852,11.724036188616273,17.07460691919586,0.2676273053281623,5.3505707305795855,18
Codeleted,172,0.2511076059145979,0.3296870410697367,0.7568184185318084,15.396410167274889,21.26897048295718,0.42713137746207175,5.872560315682291,19
Non-codeleted,159,0.550283597995158,0.1262061878983409,0.32013953489446045,13.20022599219314,16.651504864944428,0.19393334699611955,3.4512788727512884,19
Codeleted,172,0.3981686066359718,0.21154548657000535,0.5387619249086275,14.094882407796756,18.99372996301547,0.32721643833862213,4.898847555218712,20
Non-codeleted,159,0.5361377432189887,0.28871300554137025,0.5137307980595143,15.225188505825649,18.524954998067777,0.22501779251814402,3.299766492242128,20
Codeleted,172,0.26312449112635183,0.3445825019488779,0.7555278696562429,15.631356984586425,21.249707536900175,0.41094536770736495,5.61835055231375,21
Non-codeleted,159,0.49720761168057076,0.10402301476338595,0.3245705638818684,12.736983895349299,16.771238763288387,0.22054754911848246,4.034254867939088,21
Codeleted,172,0.33117023968530995,0.29547362589831416,0.6678078569130452,15.028866799138877,20.2865510302585,0.37233423101473107,5.257684231119624,22
Non-codeleted,159,0.49558651193809167,0.15729783827668448,0.3998586872306279,13.687800446724124,17.618532391130202,0.24256084895394342,3.9307319444060784,22
Codeleted,172,0.4134619158222084,0.2122467000503531,0.5268346310049884,14.161341675702403,18.874061576544722,0.31458793095463533,4.71271990084232,23
Non-codeleted,159,0.49617632587438654,0.2840035698417188,0.5354909994154705,14.99401411284953,18.71213155099921,0.2514874295737517,3.7181174381496795,23
Codeleted,172,0.3907063039360143,0.1842688335320336,0.5164251209982232,13.928623941249716,18.915597509189006,0.33215628746618964,4.986973567939289,24
Non-codeleted,159,0.47776242504555166,0.28544799757684525,0.5493779525493592,15.00560682333532,18.88422113525986,0.2639299549725139,3.87861431192454,24
