subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Frontal lobe,222,0.5727323755535472,0.2935483882814861,0.49559041489439115,15.492834652063499,18.41429998473023,0.20204202661290505,2.921465332666733,23
Nonfrontal lobe,109,0.27958075760770174,0.1570335313780373,0.5959569362501326,12.687517639789334,19.565702828619216,0.43892340487209525,6.878185188829882,23
Frontal lobe,222,0.548257999801021,0.2773756952337548,0.4950599159196301,15.333433410850452,18.480438337492146,0.21768422068587528,3.147004926641694,24
Nonfrontal lobe,109,0.2657688636270475,0.14701536423834352,0.6007736378228231,12.680398102775897,19.720242493216993,0.4537582735844796,7.039844390441097,24
Frontal lobe,222,0.5018594860453084,0.2600705356229325,0.5086955074409788,15.069548839241474,18.67265661313762,0.24862497181804633,3.603107773896145,25
Nonfrontal lobe,109,0.3191571880184445,0.1955180182110389,0.5939872312754328,13.33415821734653,19.457433907853677,0.398469213064394,6.123275690507146,25
Frontal lobe,222,0.3377051432883992,0.05937306202036101,0.38533162613477895,11.793911579168345,17.817988208323154,0.3259585641144179,6.024076629154809,26
Nonfrontal lobe,109,0.23436338392458234,0.5914473377402687,0.8841897463469497,19.00069238045062,22.674885781090584,0.292742408606681,3.6741934006399646,26
Frontal lobe,222,0.4224315623231884,0.11505865063923519,0.40114606774337264,12.82597408875175,17.697842658324696,0.28608741710413743,4.871868569572946,27
Nonfrontal lobe,109,0.2112864727704715,0.4721562046535808,0.8533726244938791,17.205341731070533,22.28365432341417,0.38121641984029825,5.078312592343636,27
Frontal lobe,222,0.44156090864062214,0.22591155992036982,0.5184709475673682,14.59278576924788,18.87034804276133,0.2925593876469984,4.277562273513448,28
Nonfrontal lobe,109,0.42248042088665705,0.26563916561313616,0.5711821753077161,14.351828586711827,18.990740605217987,0.3055430096945799,4.63891201850616,28
Frontal lobe,222,0.38618505984183016,0.1324949228838241,0.458148602600215,13.275223888484488,18.44223516699715,0.3256536797163909,5.167011278512662,29
Nonfrontal lobe,109,0.35606617843757754,0.419601009138181,0.7340148167938322,16.353964672937845,20.787717121680878,0.3144138076556512,4.433752448743032,29
Frontal lobe,222,0.32084860245865177,0.04978427731066512,0.38191229109517133,11.491331478470446,17.801481704098865,0.3321280137845062,6.310150225628419,30
Nonfrontal lobe,109,0.23320837295348268,0.5969014599146659,0.8866222181518714,19.214484377688024,22.742056084356477,0.28972075823720544,3.5275717066684535,30
Frontal lobe,222,0.48767716762185587,0.24899449330273582,0.5076162028477555,14.848556629168462,18.64124057397582,0.25862170954501973,3.7926839448073597,31
Nonfrontal lobe,109,0.31452048499284907,0.19952700619976568,0.6023322716953116,13.40378668267165,19.555609315369942,0.40280526549554585,6.151822632698293,31
Frontal lobe,222,0.5522916562291049,0.28531295260401474,0.5002401784061188,15.36113187977756,18.477499931428184,0.21492722580210405,3.1163680516506247,32
Nonfrontal lobe,109,0.3364031026902203,0.18874439635726697,0.5706919335466217,13.101782904136266,19.117873117566926,0.38194753718935476,6.01609021343066,32
Frontal lobe,222,0.4342513514083527,0.13648887974503482,0.4211285912252081,13.266914434137018,17.918391835589773,0.2846397114801733,4.651477401452755,33
Nonfrontal lobe,109,0.22375222331666889,0.4077311229468353,0.8181261444452472,16.29298108920196,21.88176260884704,0.41039502149841195,5.588781519645082,33
Frontal lobe,222,0.5709871614634858,0.2778524047995061,0.48131011063761897,15.355162998499333,18.31248906930677,0.20345770583811285,2.9573260708074383,34
Nonfrontal lobe,109,0.2443393902918306,0.14906005889176982,0.6280866009485917,12.647002966457126,20.01227994220712,0.4790265420568219,7.3652769757499925,34
Frontal lobe,222,0.35189751357730464,0.06477190804077076,0.3817066740869825,11.763916495792765,17.65603467859183,0.31693476604621174,5.892118182799065,35
Nonfrontal lobe,109,0.17994699109491644,0.5749606064533912,0.9052063481409109,18.813502165400386,22.92816198932767,0.33024574168751974,4.114659823927283,35
Frontal lobe,222,0.38151592162655645,0.10823573066922976,0.4281509563321647,12.795753676122695,18.125712272978756,0.31991522566293495,5.329958596856061,36
Nonfrontal lobe,109,0.30555435764693395,0.4875649025279306,0.8029286241986561,17.321225362671917,21.625422286892128,0.31536372167072546,4.304196924220211,36
Frontal lobe,222,0.48543351566385834,0.24747866692151807,0.5076949678710146,14.88464875303957,18.680759717014666,0.26021630094949655,3.796110963975096,37
Nonfrontal lobe,109,0.32535183983222504,0.20519440042254017,0.5973264204895411,13.507652005018244,19.48800775038686,0.39213202006700093,5.980355745368616,37
Frontal lobe,222,0.426584015355002,0.15031934093930352,0.44558197071696126,13.512300909085528,18.19549292204504,0.2952626297776577,4.683192012959513,38
Nonfrontal lobe,109,0.27373629025496493,0.39391326466013477,0.7749014015388308,15.98097866498144,21.320198927902133,0.38098813687869604,5.339220262920694,38
Frontal lobe,222,0.5416659488868216,0.2716282509348782,0.4936321713348662,15.127304429426013,18.389614447812107,0.222003920399988,3.262310018386094,39
Nonfrontal lobe,109,0.2351504752009926,0.1597408942254467,0.6496551015535147,12.856361492992688,20.253420360034823,0.489914207328068,7.397058867042135,39
